Time,System Production (W)
09/03/2016 17:45,"538"
09/03/2016 18:00,"341"
09/03/2016 18:15,"337.6667"
09/03/2016 18:30,"336"
09/03/2016 18:45,"339.1667"
09/03/2016 19:00,"172.1667"
09/03/2016 19:15,"141.3333"
09/03/2016 19:30,"142.6667"
09/03/2016 19:45,"88.1667"
09/03/2016 20:00,"8.3333"
09/03/2016 20:15,"0"
09/03/2016 20:30,"0"
09/03/2016 20:45,"0"
09/03/2016 21:00,"0"
09/03/2016 21:15,"0"
09/03/2016 21:30,"0"
09/03/2016 21:45,"0"
09/03/2016 22:00,"0"
09/03/2016 22:15,"0"
09/03/2016 22:30,"0"
09/03/2016 22:45,"0"
09/03/2016 23:00,"0"
09/03/2016 23:15,"0"
09/03/2016 23:30,"0"
09/03/2016 23:45,"0"
09/04/2016 00:00,"0"
09/04/2016 00:15,"0"
09/04/2016 00:30,"0"
09/04/2016 00:45,"0"
09/04/2016 01:00,"0"
09/04/2016 01:15,"0"
09/04/2016 01:30,"0"
09/04/2016 01:45,"0"
09/04/2016 02:00,"0"
09/04/2016 02:15,"0"
09/04/2016 02:30,"0"
09/04/2016 02:45,"0"
09/04/2016 03:00,"0"
09/04/2016 03:15,"0"
09/04/2016 03:30,"0"
09/04/2016 03:45,"0"
09/04/2016 04:00,"0"
09/04/2016 04:15,"0"
09/04/2016 04:30,"0"
09/04/2016 04:45,"0"
09/04/2016 05:00,"0"
09/04/2016 05:15,"0"
09/04/2016 05:30,"0"
09/04/2016 05:45,"0"
09/04/2016 06:00,"0"
09/04/2016 06:15,"0"
09/04/2016 06:30,"0"
09/04/2016 06:45,"0"
09/04/2016 07:00,"0"
09/04/2016 07:15,"0"
09/04/2016 07:30,"10.375"
09/04/2016 07:45,"98.5"
09/04/2016 08:00,"28"
09/04/2016 08:15,"115.5"
09/04/2016 08:30,"136.1667"
09/04/2016 08:45,"602.6667"
09/04/2016 09:00,"106.6667"
09/04/2016 09:15,"147.3333"
09/04/2016 09:30,"378.3333"
09/04/2016 09:45,"1144.8334"
09/04/2016 10:00,"2192"
09/04/2016 10:15,"2398.1667"
09/04/2016 10:30,"2824.3333"
09/04/2016 10:45,"3357.3333"
09/04/2016 11:00,"3088.6667"
09/04/2016 11:15,"1950"
09/04/2016 11:30,"3063.6667"
09/04/2016 11:45,"4148"
09/04/2016 12:00,"2118.8333"
09/04/2016 12:15,"965"
09/04/2016 12:30,"1912"
09/04/2016 12:45,"2125.3333"
09/04/2016 13:00,"1194.5"
09/04/2016 13:15,"1079.8334"
09/04/2016 13:30,"473.3333"
09/04/2016 13:45,"1911.1666"
09/04/2016 14:00,"508"
09/04/2016 14:15,"446"
09/04/2016 14:30,"811"
09/04/2016 14:45,"881.1667"
09/04/2016 15:00,"1407.8334"
09/04/2016 15:15,"942.8333"
09/04/2016 15:30,"1103.3334"
09/04/2016 15:45,"880.1667"
09/04/2016 16:00,"639.8333"
09/04/2016 16:15,"423.1667"
09/04/2016 16:30,"490"
09/04/2016 16:45,"697.8333"
09/04/2016 17:00,"270.8333"
09/04/2016 17:15,"308.5"
09/04/2016 17:30,"310.3333"
09/04/2016 17:45,"220.6667"
09/04/2016 18:00,"86.5"
09/04/2016 18:15,"198.1667"
09/04/2016 18:30,"112.3333"
09/04/2016 18:45,"89.1667"
09/04/2016 19:00,"103.8333"
09/04/2016 19:15,"71.6667"
09/04/2016 19:30,"83.3333"
09/04/2016 19:45,"38.1667"
09/04/2016 20:00,"0.1667"
09/04/2016 20:15,"0"
09/04/2016 20:30,"0"
09/04/2016 20:45,"0"
09/04/2016 21:00,"0"
09/04/2016 21:15,"0"
09/04/2016 21:30,"0"
09/04/2016 21:45,"0"
09/04/2016 22:00,"0"
09/04/2016 22:15,"0"
09/04/2016 22:30,"0"
09/04/2016 22:45,"0"
09/04/2016 23:00,"0"
09/04/2016 23:15,"0"
09/04/2016 23:30,"0"
09/04/2016 23:45,"0"
09/05/2016 00:00,"0"
09/05/2016 00:15,"0"
09/05/2016 00:30,"0"
09/05/2016 00:45,"0"
09/05/2016 01:00,"0"
09/05/2016 01:15,"0"
09/05/2016 01:30,"0"
09/05/2016 01:45,"0"
09/05/2016 02:00,"0"
09/05/2016 02:15,"0"
09/05/2016 02:30,"0"
09/05/2016 02:45,"0"
09/05/2016 03:00,"0"
09/05/2016 03:15,"0"
09/05/2016 03:30,"0"
09/05/2016 03:45,"0"
09/05/2016 04:00,"0"
09/05/2016 04:15,"0"
09/05/2016 04:30,"0"
09/05/2016 04:45,"0"
09/05/2016 05:00,"0"
09/05/2016 05:15,"0"
09/05/2016 05:30,"0"
09/05/2016 05:45,"0"
09/05/2016 06:00,"0"
09/05/2016 06:15,"0"
09/05/2016 06:30,"0"
09/05/2016 06:45,"0"
09/05/2016 07:00,"16.3333"
09/05/2016 07:15,"166.8333"
09/05/2016 07:30,"160.5"
09/05/2016 07:45,"114.3333"
09/05/2016 08:00,"251.5"
09/05/2016 08:15,"320.1667"
09/05/2016 08:30,"402"
09/05/2016 08:45,"415"
09/05/2016 09:00,"415"
09/05/2016 09:15,"554.5"
09/05/2016 09:30,"856.1667"
09/05/2016 09:45,"1495.5"
09/05/2016 10:00,"2497.5"
09/05/2016 10:15,"1825"
09/05/2016 10:30,"3134.3333"
09/05/2016 10:45,"2993.5"
09/05/2016 11:00,"3325.6667"
09/05/2016 11:15,"3882.8333"
09/05/2016 11:30,"2954"
09/05/2016 11:45,"3492"
09/05/2016 12:00,"3388.6667"
09/05/2016 12:15,"2242.3333"
09/05/2016 12:30,"2539.8333"
09/05/2016 12:45,"3480.6667"
09/05/2016 13:00,"966.8333"
09/05/2016 13:15,"2092.8333"
09/05/2016 13:30,"3402.6667"
09/05/2016 13:45,"3011.8333"
09/05/2016 14:00,"3775"
09/05/2016 14:15,"3649.5"
09/05/2016 14:30,"3489.8333"
09/05/2016 14:45,"633.3333"
09/05/2016 15:00,"2657.6667"
09/05/2016 15:15,"1526.3334"
09/05/2016 15:30,"2517.5"
09/05/2016 15:45,"1526.3334"
09/05/2016 16:00,"2593.6667"
09/05/2016 16:15,"1741.6666"
09/05/2016 16:30,"2061.1667"
09/05/2016 16:45,"1760.3334"
09/05/2016 17:00,"1452.6666"
09/05/2016 17:15,"1214.5"
09/05/2016 17:30,"978.6667"
09/05/2016 17:45,"669.3333"
09/05/2016 18:00,"493.1667"
09/05/2016 18:15,"358.1667"
09/05/2016 18:30,"258.1667"
09/05/2016 18:45,"215.8333"
09/05/2016 19:00,"182.1667"
09/05/2016 19:15,"137.5"
09/05/2016 19:30,"75.1667"
09/05/2016 19:45,"33.6667"
09/05/2016 20:00,"7.3333"
09/05/2016 20:15,"0"
09/05/2016 20:30,"0"
09/05/2016 20:45,"0"
09/05/2016 21:00,"0"
09/05/2016 21:15,"0"
09/05/2016 21:30,"0"
09/05/2016 21:45,"0"
09/05/2016 22:00,"0"
09/05/2016 22:15,"0"
09/05/2016 22:30,"0"
09/05/2016 22:45,"0"
09/05/2016 23:00,"0"
09/05/2016 23:15,"0"
09/05/2016 23:30,"0"
09/05/2016 23:45,"0"
09/06/2016 00:00,"0"
09/06/2016 00:15,"0"
09/06/2016 00:30,"0"
09/06/2016 00:45,"0"
09/06/2016 01:00,"0"
09/06/2016 01:15,"0"
09/06/2016 01:30,"0"
09/06/2016 01:45,"0"
09/06/2016 02:00,"0"
09/06/2016 02:15,"0"
09/06/2016 02:30,"0"
09/06/2016 02:45,"0"
09/06/2016 03:00,"0"
09/06/2016 03:15,"0"
09/06/2016 03:30,"0"
09/06/2016 03:45,"0"
09/06/2016 04:00,"0"
09/06/2016 04:15,"0"
09/06/2016 04:30,"0"
